Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J3,SPDIF OUT,Pin_Header_Straight_1x02,138.43,-101.5492,0.0,top
J4,Micro_SD_Card,GCT-MEM2055-00-190-01-A,104.1146,-103.6608,180.0,top
J5,Micro_SD_Card,GCT-MEM2055-00-190-01-A,85.8012,-103.7116,180.0,top
L1,Ferrite 120,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,99.4156,-49.9364,-90.0,top
L2,Ferrite 120,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,101.7016,-69.1896,180.0,bottom
L3,4u7,L_0805_2012Metric_Pad1.15x1.40mm,104.8258,-73.7108,270.0,bottom
LOGO2,logo,andy_karpov_logo5_silk,73.1012,-81.026,0.0,bottom
OC1,TLP2362,SO-5-6_4.55x3.7mm_P1.27mm,86.868,-73.66,-90.0,top
Q1,DMG2305UX,SOT-23_Handsoldering,102.5144,-50.8508,0.0,top
R1,5k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,106.172,-36.576,90.0,bottom
R10,0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,57.3024,-71.12,0.0,top
R11,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,61.468,-54.356,90.0,top
R12,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,58.928,-54.356,90.0,top
R13,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,132.842,-73.7108,0.0,top
R14,2M2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,116.8146,-86.3346,90.0,top
R15,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,119.888,-66.913,-90.0,top
R16,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,87.9094,-102.8446,90.0,bottom
R17,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,85.5472,-102.8446,90.0,bottom
R18,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,83.1596,-102.8446,90.0,bottom
R19,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,80.7212,-102.8446,90.0,bottom
R2,5k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,103.124,-36.576,90.0,bottom
R20,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,104.9528,-59.0296,90.0,top
R3,47,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.66,-58.42,-90.0,top
R4,220,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,87.376,-64.516,180.0,top
R5,47,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,76.2,-58.42,90.0,top
R6,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,86.868,-80.518,180.0,top
R7,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,132.842,-71.628,0.0,top
R8,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,132.7404,-66.2432,0.0,top
R9,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,62.992,-69.5745,90.0,top
SW1,ON_OFF,Push_PTH_RA_8-020_h7.5mm,138.4,-84.836,90.0,top
SW2,PROGRAM,Push_PTH_RA_8-020_h7.5mm,138.466,-54.864,90.0,top
TRS1,LINE OUT,AUDIO_JACK_3.5MM_SMD_TRRS_rounded_mixed,60.96,-40.75611,-90.0,top
TRS2,MIDI OUT,AUDIO_JACK_3.5MM_SMD_TRRS_rounded_mixed,73.66,-40.75611,-90.0,top
TRS3,MIDI IN,AUDIO_JACK_3.5MM_SMD_TRRS_rounded_mixed,86.6648,-40.75611,-90.0,top
U1,TPD3S014,SOT-23-6_Handsoldering,124.2568,-56.5912,0.0,top
U10,TLV75733PDBV,SOT-23-5_HandSoldering,102.1588,-58.8772,180.0,top
U11,74LVC2G06,SOT-23-6_Handsoldering,74.8792,-63.7794,0.0,top
U2,AMS1117-3.3,TO-252-2,73.816,-77.972,180.0,top
U3,"ILI9341 3.2"" capacitive touch",PinSocket_1x14_P2.54mm_Vertical,51.816,-69.85,0.0,top
U4,PCM5102A,TSSOP-20_4.4x6.5mm_P0.65mm,63.907,-61.976,180.0,top
U5,APS6404L-3SQR,SOIC-8_3.9x4.9mm_P1.27mm,96.2914,-66.421,90.0,top
U6,APS6404L-3SQR,SOIC-8_3.9x4.9mm_P1.27mm,96.2914,-73.9394,90.0,top
U7,MKL02Z32VFG4,QFN-16-1EP_3x3mm_P0.5mm_EP1.9x1.9mm,120.7636,-71.6165,180.0,top
U8,GD25Q64ESIGR,SOIC-8_5.3x5.3mm_P1.27mm,101.0412,-81.915,90.0,top
U9,MIMXRT1062DVJ6B,BGA196C80P14X14_1200X1200X152,109.6328,-71.9004,0.0,top
USB1,USB_HOST,USB_A_Molex_67643_Horizontal,124.968,-41.755,180.0,top
USB2,USB,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,104.648,-37.4562,180.0,top
Y1,24MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,113.538,-81.4188,0.0,top
Y2,32768,Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal_1EP_style2,108.204,-87.4776,0.0,top
